step 0/5000:train loss 4.2692,val loss 4.2694
step 500/5000:train loss 1.8564,val loss 1.9858
step 1000/5000:train loss 1.5912,val loss 1.7869
step 1500/5000:train loss 1.4943,val loss 1.7143
step 2000/5000:train loss 1.4398,val loss 1.6680
step 2500/5000:train loss 1.4053,val loss 1.6494
step 3000/5000:train loss 1.3826,val loss 1.6308
step 3500/5000:train loss 1.3629,val loss 1.6280
step 4000/5000:train loss 1.3443,val loss 1.6148
step 4500/5000:train loss 1.3330,val loss 1.6180
step 4999/5000:train loss 1.3213,val loss 1.6112
